Year;MonthOfYear;DayOfMonth;HourOfDay(UTC);DayOfYear;DayOfCentury;AirPressure(hPa);AirTemperature(C);AirTemperatureHygroClip(C);RelativeHumidity_wrtWater(%);RelativeHumidity(%);WindSpeed(m/s);WindDirection(d);ShortwaveRadiationDown(W/m2);ShortwaveRadiationDown_Cor(W/m2);ShortwaveRadiationUp(W/m2);ShortwaveRadiationUp_Cor(W/m2);Albedo_theta<70d;LongwaveRadiationDown(W/m2);LongwaveRadiationUp(W/m2);CloudCover;SurfaceTemperature(C);HeightSensorBoom(m);HeightStakes(m);DepthPressureTransducer(m);DepthPressureTransducer_Cor(m);IceTemperature1(C);IceTemperature2(C);IceTemperature3(C);IceTemperature4(C);IceTemperature5(C);IceTemperature6(C);IceTemperature7(C);IceTemperature8(C);TiltToEast(d);TiltToNorth(d);TimeGPS(hhmmssUTC);LatitudeGPS((dd)mm.mmmmm);LongitudeGPS((dd)mm.mmmmm);ElevationGPS(m);HorDilOfPrecGPS;LoggerTemperature(C);FanCurrent(mA);BatteryVoltage(V)
2020;9;14;18;-999;-999;862;-10.07;29.79;67;67;7.89;144.9;295;-999;234.7;-999;-999;-90.6;-16.6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;19;-999;-999;862;-10.66;29.07;66.8;66.8;7.83;140;211.6;-999;160;-999;-999;-87.6;-16.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;20;-999;-999;861;-11.94;27.68;68.6;68.6;8.01;140.8;105.3;-999;74.1;-999;-999;-81;-13.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;21;-999;-999;861;-12.66;26.66;72.7;72.7;8.26;151.3;22.8;-999;14.9;-999;-999;-65.8;-8.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;22;-999;-999;860;-12.73;26.51;72.9;72.9;8.98;148.2;-.9;-999;.9;-999;-999;-62.8;-6.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;14;23;-999;-999;859;-12.48;26.83;74.7;74.7;9.41;148.5;-1.3;-999;.6;-999;-999;-61.5;-6;-999;-999;2.425;1.108;-9999;-999;-32.96;-31.74;-32.27;-33.1;-33.9;-34.44;-34.9;-35.31;-2.85;2.99;-999;-999;-999;1264;.8;-999;145;13.62
2020;9;15;0;-999;-999;859;-12.37;26.81;77.6;77.6;8.73;151.6;-1.3;-999;.7;-999;-999;-62.1;-6;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;1;-999;-999;858;-11.2;27.97;80.8;80.8;9.42;151;-1.1;-999;.6;-999;-999;-58.5;-5.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;2;-999;-999;857;-10.46;28.73;82;82;9.63;146.5;-.6;-999;.5;-999;-999;-43.3;-4.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;3;-999;-999;856;-9.24;29.98;82.9;82.9;9.66;145.2;-.7;-999;.4;-999;-999;-39.3;-4.2;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;4;-999;-999;855;-7.23;31.93;83.8;83.8;9.41;148.5;-.2;-999;.6;-999;-999;-26.6;-4.1;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;5;-999;-999;854;-5.18;34.03;84.5;84.5;8.34;149.9;-.4;-999;.3;-999;-999;-23.2;-4.6;-999;-999;2.71;1.089;-9999;-999;-32.84;-31.63;-32.16;-32.95;-33.73;-34.31;-34.76;-35.14;-2.79;2.8;-999;-999;-999;1265;.9;-999;127;12.88
2020;9;15;6;-999;-999;853;-4.63;34.67;84.5;84.5;9.96;142;-.4;-999;.1;-999;-999;-24.1;-4.4;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;7;-999;-999;852;-4.92;34.41;85.8;85.8;11.86;145.4;-.5;-999;.2;-999;-999;-35.6;-4.3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;8;-999;-999;851;-5.47;33.82;87.8;87.8;12.51;143.4;3.7;-999;3.6;-999;-999;-25.3;-3;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;9;-999;-999;851;-4.87;34.42;89.6;89.6;13.93;146.7;39.2;-999;32.6;-999;-999;-3.2;-1.9;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;10;-999;-999;849;-5.13;34.14;91.9;91.9;16.64;148.5;97.6;-999;81.4;-999;-999;-4.8;-1.8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;11;-999;-999;849;-4.52;34.78;92;92;16.6;147.6;134.8;-999;112.9;-999;-999;-3.8;-2.3;-999;-999;2.53;1.09;-9999;-999;-32.8;-31.64;-32.1;-32.89;-33.71;-34.22;-34.69;-35.13;-2.89;3.36;-999;-999;-999;1268;.9;-999;140;13.07
2020;9;15;12;-999;-999;848;-4.85;34.52;92.1;92.1;18.4;154.4;194.2;-999;164.2;-999;-999;-3.7;-2.5;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
2020;9;15;13;-999;-999;848;-4.79;34.5;92.5;92.5;18.05;149.8;209;-999;178.2;-999;-999;-5.3;-2.7;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
